,URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code),no2_µg/m3,pm25_µg/m3,no2_x,no2_y,pm_x,pm_y
26,100026,202,Camden,2797.0,Fitzjohn's Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210.0,2,No Special Classes,17-01-2019,227.0,113.0,114.0,4.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10079731.0,,Not applicable,04-12-2018,0,Not applicable,11-07-2019,86A Fitzjohn's Avenue,,,London,,NW3 6NP,http://www.fitzjohns.camden.sch.uk/,2074359797.0,Mr,Rob,Earrey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526566.0,185411.0,,Camden 008,Camden 008D,,,,,,999,,,Good,North-West London and South-Central England,,5076981.0,,E02000173,E01000897,42.509609999999995,13.988129999999998,526560.0,185420.0,526560.0,185420.0
27,100027,202,Camden,2841.0,Eleanor Palmer Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236.0,2,No Special Classes,17-01-2019,236.0,115.0,121.0,8.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10078057.0,,Not applicable,19-10-2011,0,Not applicable,11-07-2019,Lupton Street,Tufnell Park,,London,,NW5 2JA,http://www.eleanorpalmer.camden.sch.uk/,2074852155.0,Mrs,Kate,Frood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529117.0,185613.0,,Camden 003,Camden 003C,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090678.0,,E02000168,E01000921,40.29005,13.850389999999999,529120.0,185620.0,529120.0,185620.0
29,100029,202,Camden,3327.0,Christ Church School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,210.0,2,No Special Classes,17-01-2019,224.0,118.0,106.0,28.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10079318.0,,Not applicable,24-01-2017,0,Not applicable,11-07-2019,Redhill Street,Camden,,London,,NW1 4BD,http://www.cchurchnw1.camden.sch.uk,2073877881.0,Mrs,Paula,Walker,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000142,Regent's Park,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528821.0,182991.0,,Camden 023,Camden 023C,,,,,,999,,,Good,North-West London and South-Central England,,5090641.0,,E02000188,E01000949,42.631479999999996,14.37539,528820.0,183000.0,528820.0,183000.0
30,100030,202,Camden,3340.0,Emmanuel Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,266.0,2,No Special Classes,17-01-2019,266.0,132.0,134.0,8.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10079317.0,,Not applicable,16-01-2019,0,Not applicable,11-07-2019,152-158 Mill Lane,West Hampstead,,London,,NW6 1TF,http://www.emmanuel.camden.sch.uk/,2074317984.0,Miss,Kathryn,Fitzsimmons,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000145,West Hampstead,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,525336.0,185264.0,,Camden 010,Camden 010B,,,,,,999,,,Good,North-West London and South-Central England,,5167368.0,,E02000175,E01000970,40.213359999999994,13.79585,525340.0,185260.0,525340.0,185260.0
34,100034,202,Camden,3370.0,Kentish Town Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,236.0,1,Has Special Classes,17-01-2019,237.0,126.0,111.0,27.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10069857.0,,Not applicable,08-12-2017,0,Not applicable,11-07-2019,Islip Street,,,London,,NW5 2TU,http://www.kentishtown.camden.sch.uk/,2074851279.0,Mr,James Vincent,Humphries,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,PD - Physical Disability,,,,,,,,,,,,Resource Provision,21.0,21.0,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529113.0,185066.0,,Camden 003,Camden 003C,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090705.0,,E02000168,E01000921,41.091229999999996,14.02164,529120.0,185060.0,529120.0,185060.0
35,100035,202,Camden,3391.0,Rosary Roman Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,360.0,2,No Special Classes,17-01-2019,324.0,164.0,160.0,19.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10076020.0,,Not applicable,07-02-2017,0,Not applicable,11-07-2019,238 Haverstock Hill,Hampstead,,London,,NW3 2AE,http://www.rosary.camden.sch.uk/,2077946292.0,Mr,Peter,Keane,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,527199.0,185281.0,,Camden 008,Camden 008E,,,,,,999,,,Good,North-West London and South-Central England,,5105233.0,,E02000173,E01000898,42.52917,14.08182,527200.0,185280.0,527200.0,185280.0
36,100036,202,Camden,3398.0,St Alban's Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,195.0,2,No Special Classes,17-01-2019,198.0,85.0,113.0,26.0,0,Not applicable,,,Not applicable,,Not under a federation,,,10079316.0,,Not applicable,03-04-2019,0,Not applicable,11-07-2019,Baldwins Gardens,Holborn,,London,,EC1N 7SD,www.stalbanscamden.co.uk,2072428585.0,Miss,Rebecca,Hughes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,OTH - Other Difficulty/Disability,"SLCN - Speech, language and Communication",ASD - Autistic Spectrum Disorder,"SEMH - Social, Emotional and Mental Health",MLD - Moderate Learning Difficulty,SLD - Severe Learning Difficulty,,,,,,,,SEN Unit,,,33.0,33.0,H,London,E09000007,Camden,E05000138,Holborn and Covent Garden,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,531156.0,181834.0,,Camden 027,Camden 027C,,,,,,999,,,Good,North-West London and South-Central England,,5090637.0,,E02000192,E01000917,46.227540000000005,15.463339999999999,531160.0,181840.0,531160.0,181840.0
37,100037,202,Camden,3400.0,St Aloysius Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,3,"Open, but proposed to close",0,Not applicable,01-01-1900,2,Closure,31-08-2019,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,450.0,2,No Special Classes,17-01-2019,260.0,138.0,122.0,34.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10076019.0,,Not applicable,21-03-2018,0,Not applicable,23-07-2019,Aldenham Street,,,London,,NW1 1PS,http://www.acps.camden.sch.uk/,2073879591.0,Ms,Clare,McFlynn,Executive Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000143,St Pancras and Somers Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529505.0,183062.0,,Camden 022,Camden 022D,,,,,,999,,,Requires improvement,North-West London and South-Central England,,5090614.0,,E02000187,E01000955,43.421209999999995,14.62672,529500.0,183060.0,529500.0,183060.0
38,100038,202,Camden,3401.0,St Aloysius Roman Catholic Infant School,2,Voluntary aided school,4,LA maintained schools,2,Closed,0,Not applicable,,1,Result of Amalgamation/Merger,31-12-2016,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,210.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,28 Phoenix Road,,,London,,NW1 1TA,http://www.staloysiusinf.camden.sch.uk/,2073873551.0,Miss,Clare,McFlynn,Executive Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000143,St Pancras and Somers Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529641.0,182910.0,,Camden 022,Camden 022D,,,,,,999,,,,North-West London and South-Central England,,5019560.0,,E02000187,E01000955,43.3433,14.6971,529640.0,182900.0,529640.0,182900.0
39,100039,202,Camden,3429.0,St Dominic's Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,336.0,2,No Special Classes,17-01-2019,222.0,108.0,114.0,41.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10076018.0,,Not applicable,03-05-2018,0,Not applicable,11-07-2019,Southampton Road,,,London,,NW5 4JS,http://www.stdominics.camden.sch.uk/,2074855918.0,,Jennifer,O'Prey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,527842.0,185252.0,,Camden 006,Camden 006D,,,,,,999,,,Good,North-West London and South-Central England,,5131187.0,,E02000171,E01000892,44.19685,14.35126,527840.0,185260.0,527840.0,185260.0
