,URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code),no2_µg/m3,pm25_µg/m3,no2_x,no2_y,pm_x,pm_y
686,100688,209,Lewisham,2307.0,Holbeach Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,468.0,2,No Special Classes,17-01-2019,499.0,253.0,246.0,12.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10074637.0,,Not applicable,08-11-2017,0,Not applicable,11-07-2019,Nelgarde Road,,,London,,SE6 4TP,www.holbeach.lewisham.sch.uk/,2086904713.0,Mr,T,Bulpitt,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000451,Rushey Green,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,537465.0,173958.0,,Lewisham 020,Lewisham 020E,,,,,,999,,,Good,South-East England and South London,,100023278879.0,,E02000672,E01003324,34.71687,13.177229999999998,537460.0,173960.0,537460.0,173960.0
687,100689,209,Lewisham,2342.0,John Stainer Community Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,410.0,2,No Special Classes,17-01-2019,424.0,201.0,223.0,8.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10074636.0,,Not applicable,22-11-2012,0,Not applicable,11-07-2019,Mantle Road,Brockley,,London,,SE4 2DY,www.johnstainer.lewisham.sch.uk/,2076390482.0,Ms,Sue,Harte,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000453,Telegraph Hill,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,536277.0,175737.0,,Lewisham 010,Lewisham 010E,,,,,,999,,,Outstanding,South-East England and South London,,100023272228.0,,E02000662,E01003345,36.92306,13.32421,536280.0,175740.0,536280.0,175740.0
688,100690,209,Lewisham,2347.0,Kelvin Grove Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,630.0,1,Has Special Classes,17-01-2019,633.0,342.0,291.0,20.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10072918.0,,Not applicable,12-09-2017,0,Not applicable,11-07-2019,Kelvin Grove,,,London,,SE26 6BB,www.kelvingrove.lewisham.sch.uk/,2086996300.0,Mr,Ian,Hyde,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,Resource Provision and SEN Unit,20.0,20.0,0.0,0.0,H,London,E09000023,Lewisham,E05000444,Forest Hill,E14000788,Lewisham West and Penge,A1,Urban major conurbation,E09000023,534761.0,172179.0,,Lewisham 028,Lewisham 028D,,,,,,999,,,Good,South-East England and South London,,100023264655.0,,E02000680,E01003259,33.99765,13.01355,534760.0,172180.0,534760.0,172180.0
689,100691,209,Lewisham,2349.0,Kender Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,17-01-2019,449.0,220.0,229.0,24.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10074635.0,,Not applicable,27-04-2016,0,Not applicable,11-07-2019,Kender Street,New Cross,,London,,SE14 5JA,http://www.kender.lewisham.sch.uk/,2076394654.0,Mr,Keith,Barr,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000453,Telegraph Hill,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,535468.0,176916.0,,Lewisham 006,Lewisham 006A,,,,,,999,,,Good,South-East England and South London,,100023237482.0,,E02000658,E01003338,38.6055,13.540379999999999,535460.0,176920.0,535460.0,176920.0
690,100692,209,Lewisham,2374.0,Launcelot Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,480.0,2,No Special Classes,17-01-2019,401.0,207.0,194.0,23.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10074634.0,,Not applicable,12-01-2017,0,Not applicable,11-07-2019,Launcelot Road,Downham,,Bromley,Kent,BR1 5EA,www.launcelot.lewisham.sch.uk/,2086972304.0,Ms,Maxine,Osbaldeston,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000442,Downham,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,540149.0,171655.0,,Lewisham 037,Lewisham 037B,,,,,,999,,,Good,South-East England and South London,,100023568836.0,,E02006783,E01003237,32.321459999999995,12.77255,540140.0,171660.0,540140.0,171660.0
691,100693,209,Lewisham,2381.0,Brindishe Manor School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,17-01-2019,469.0,248.0,221.0,10.5,0,Not applicable,,,Not applicable,,Supported by a federation,1300,The Brindishe Federation,10074633.0,,Not applicable,19-09-2013,0,Not applicable,11-07-2019,Leahurst Road,Lewisham,,London,,SE13 5LS,www.brindishemanor.lewisham.sch.uk,2088520852.0,Mrs,Rachel,Waite,Executive Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000447,Lee Green,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,539350.0,174478.0,,Lewisham 016,Lewisham 016D,,,,,,999,,,Outstanding,South-East England and South London,,100023234112.0,,E02000668,E01003287,33.58542,12.97546,539340.0,174480.0,539340.0,174480.0
692,100694,209,Lewisham,2384.0,Lewisham Bridge Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,1,Result of Amalgamation/Merger,31-08-2011,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,315.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Stanley Street,New Cross,,London,,SE8 4BL,,2084691647.0,Mrs,D,Venn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000449,New Cross,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,536830.0,177170.0,,Lewisham 039,Lewisham 039C,,,,,,999,,,,South-East England and South London,,,,E02006798,E01003303,38.58542,13.555710000000001,536820.0,177180.0,536820.0,177180.0
693,100695,209,Lewisham,2390.0,Lucas Vale Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,480.0,2,No Special Classes,17-01-2019,404.0,190.0,214.0,28.3,0,Not applicable,,,Not applicable,,Supported by a federation,1793,Grinling Gibbons and Lucas Vale Federation,10074632.0,,Not applicable,13-03-2019,0,Not applicable,11-07-2019,Thornville Street,,,London,,SE8 4QB,http://www.lucasvale.lewisham.sch.uk,2086924660.0,Mrs,Ruth De-Graft,Gomado-Cobblah,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000439,Brockley,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,537042.0,176596.0,,Lewisham 005,Lewisham 005C,,,,,,999,,,Requires improvement,South-East England and South London,,100023281113.0,,E02000657,E01003210,38.27827,13.487020000000001,537040.0,176600.0,537040.0,176600.0
694,100696,209,Lewisham,2403.0,Marvels Lane Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,450.0,2,No Special Classes,17-01-2019,390.0,232.0,158.0,20.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10074631.0,,Not applicable,13-07-2016,0,Not applicable,11-07-2019,Riddons Road,Grove Park,,London,,SE12 9RA,www.marvelslane.lewisham.sch.uk,2088573904.0,Mr,Edward,Dove,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000445,Grove Park,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,541432.0,171932.0,,Lewisham 031,Lewisham 031C,,,,,,999,,,Good,South-East England and South London,,100023233133.0,,E02000683,E01003266,31.984479999999998,12.61651,541440.0,171940.0,541440.0,171940.0
695,100697,209,Lewisham,2422.0,Monson Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,0,Not applicable,31-08-2008,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,487.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Hunsdon Road,,,London,,SE14 5RD,http://www.monson.lewisham.sch.uk,2076394563.0,Mr,Sean,Frolish,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000449,New Cross,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,535717.0,177430.0,,Lewisham 003,Lewisham 003E,,,,,,999,,,,South-East England and South London,,,,E02000655,E01003305,37.53145,13.497539999999999,535720.0,177420.0,535720.0,177420.0
696,100698,209,Lewisham,2463.0,Merlin Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,6,For Academy,31-12-2010,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,279.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,72 Ballamore Road,Downham,,Bromley,Kent,BR1 5LW,http://schoolsite.edex.net.uk/453/index.htm,2086972804.0,Mr,Damian,Tucker,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000442,Downham,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,540245.0,172313.0,,Lewisham 037,Lewisham 037A,,,,,,999,,,,South-East England and South London,,,,E02006783,E01003236,31.8941,12.73663,540240.0,172320.0,540240.0,172320.0
697,100699,209,Lewisham,2491.0,Rangefield Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,456.0,2,No Special Classes,17-01-2019,429.0,213.0,216.0,25.3,0,Not applicable,,,Not applicable,,Supported by a federation,1984,Forster Park and Rangefield Federation,10074630.0,,Not applicable,01-11-2018,0,Not applicable,11-07-2019,Glenbow Road,Downham,,Bromley,Kent,BR1 4RP,http://www.rangefield.co.uk/,2086983112.0,Mrs,Michelle,Fenniche,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000442,Downham,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,539405.0,171393.0,,Lewisham 038,Lewisham 038E,,,,,,999,,,Requires improvement,South-East England and South London,,100023568836.0,,E02006784,E01032565,31.67268,12.73787,539400.0,171400.0,539400.0,171400.0
698,100700,209,Lewisham,2493.0,Rathfern Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,532.0,2,No Special Classes,17-01-2019,472.0,242.0,230.0,24.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10074629.0,,Not applicable,09-12-2015,0,Not applicable,11-07-2019,Rathfern Road,Catford,,London,,SE6 4NL,http://www.rathfern.lewisham.sch.uk,2086903759.0,Mrs,Naheeda,Maharasingam,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000451,Rushey Green,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,536828.0,173191.0,,Lewisham 020,Lewisham 020C,,,,,,999,,,Outstanding,South-East England and South London,,100023570500.0,,E02000672,E01003321,35.105979999999995,13.1306,536820.0,173200.0,536820.0,173200.0
699,100701,209,Lewisham,2529.0,Rushey Green Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,660.0,2,No Special Classes,17-01-2019,631.0,294.0,337.0,16.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10072917.0,,Not applicable,16-11-2016,0,Not applicable,11-07-2019,Culverley Road,Catford,,London,,SE6 2LA,www.rusheygreen.lewisham.sch.uk/,2086985001.0,Mr,John,Calvert,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,HI - Hearing Impairment,,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000023,Lewisham,E05000440,Catford South,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,537770.0,173407.0,,Lewisham 025,Lewisham 025A,,,,,,999,,,Good,South-East England and South London,,100023570500.0,,E02000677,E01003216,36.96866,13.2847,537760.0,173400.0,537760.0,173400.0
701,100703,209,Lewisham,2536.0,Sandhurst Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,660.0,2,No Special Classes,17-01-2019,693.0,351.0,342.0,11.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10074628.0,,Not applicable,29-03-2019,0,Not applicable,11-07-2019,Minard Road,Catford,,London,,SE6 1NW,webfronter.com/lewisham/sandhurstprimary,2086985810.0,Mrs,Rebecca,Dove,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000440,Catford South,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,539055.0,173451.0,,Lewisham 022,Lewisham 022C,,,,,,999,,,Good,South-East England and South London,,100023276393.0,,E02000674,E01003220,33.57293,12.93949,539060.0,173460.0,539060.0,173460.0
703,100705,209,Lewisham,2571.0,Stillness Infant School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270.0,2,No Special Classes,17-01-2019,301.0,153.0,148.0,2.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10066706.0,,Not applicable,06-06-2008,0,Not applicable,11-07-2019,Brockley Rise,,,London,,SE23 1NH,www.stillness-inf.lewisham.sch.uk,2086901208.0,Mrs,Annie,Grimes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000441,Crofton Park,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,536370.0,174094.0,,Lewisham 019,Lewisham 019B,,,,,,999,,,Outstanding,South-East England and South London,,100023253750.0,,E02000671,E01003227,35.78852,13.2155,536360.0,174100.0,536360.0,174100.0
704,100706,209,Lewisham,2599.0,Tidemill Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31-08-2011,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,12-06-2008,0,Not applicable,15-10-2018,Frankham Street,,,London,,SE8 4RN,http://schoolsite.edex.net.uk/1378/,2086923470.0,Mr,Mark,Elms,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000449,New Cross,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,537351.0,177206.0,,Lewisham 039,Lewisham 039E,,,,,,999,,,Outstanding,South-East England and South London,,,,E02006798,E01032579,38.46206,13.638689999999999,537360.0,177200.0,537360.0,177200.0
706,100708,209,Lewisham,2606.0,Torridon Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,680.0,2,No Special Classes,17-01-2019,661.0,358.0,303.0,15.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10071958.0,,Not applicable,09-07-2015,0,Not applicable,11-07-2019,Hazelbank Road,,,London,,SE6 1TG,www.torridonprimary.lewisham.sch.uk/,2086972762.0,,Manda,George,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,Not Applicable,,,,,,,,,,,,,Resource Provision,8.0,8.0,,,H,London,E09000023,Lewisham,E05000440,Catford South,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,538945.0,172742.0,,Lewisham 025,Lewisham 025B,,,,,,999,,,Outstanding,South-East England and South London,,100023276843.0,,E02000677,E01003219,32.61915,12.83348,538940.0,172740.0,538940.0,172740.0
707,100709,209,Lewisham,2782.0,John Ball Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,612.0,2,No Special Classes,17-01-2019,607.0,315.0,292.0,10.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10074627.0,,Not applicable,22-11-2013,0,Not applicable,11-07-2019,Southvale Road,Blackheath,,London,,SE3 0TP,www.johnball.lewisham.sch.uk,2088521601.0,Mr,Michael,Roach,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000438,Blackheath,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,539376.0,176050.0,,Lewisham 009,Lewisham 009B,,,,,,999,,,Outstanding,South-East England and South London,,100023268042.0,,E02000661,E01003200,35.44246,13.175279999999999,539380.0,176060.0,539380.0,176060.0
709,100711,209,Lewisham,2815.0,Eliot Bank Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,480.0,2,No Special Classes,17-01-2019,492.0,253.0,239.0,6.6,0,Not applicable,,,Not applicable,,Supported by a federation,1659,The Eliot Bank and Gordonbrock Primary Schools Federation,10074626.0,,Not applicable,03-02-2010,0,Not applicable,11-07-2019,Thorpewood Avenue,Sydenham,,London,,SE26 4BU,www.eliotbank.lewisham.sch.uk/,2086990586.0,Ms,Maria,Gilmore,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000444,Forest Hill,E14000788,Lewisham West and Penge,A1,Urban major conurbation,E09000023,534813.0,172681.0,,Lewisham 028,Lewisham 028B,,,,,,999,,,Outstanding,South-East England and South London,,100023570501.0,,E02000680,E01003257,34.73206,13.11585,534820.0,172680.0,534820.0,172680.0
711,100713,209,Lewisham,2869.0,Myatt Garden Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,17-01-2019,440.0,227.0,213.0,13.9,0,Not applicable,,,Not applicable,,Not under a federation,,,10074625.0,,Not applicable,26-09-2018,0,Not applicable,11-07-2019,Rokeby Road,Brockley,,London,,SE4 1DF,http://www.myattgarden.lewisham.sch.uk/,2086910611.0,Ms,Sally,Williams,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000439,Brockley,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,536827.0,176434.0,,Lewisham 005,Lewisham 005C,,,,,,999,,,Good,South-East England and South London,,100023271560.0,,E02000657,E01003210,37.43012,13.432360000000001,536820.0,176440.0,536820.0,176440.0
713,100715,209,Lewisham,2871.0,Perrymount Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270.0,1,Has Special Classes,17-01-2019,204.0,108.0,96.0,25.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10074624.0,,Not applicable,31-10-2017,0,Not applicable,11-07-2019,Sunderland Road,Forest Hill,,London,,SE23 2PX,www.perrymount.lewisham.sch.uk/,2086994522.0,Ms,Christine,Keen,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,PD - Physical Disability,,,,,,,,,,,,,Resource Provision,6.0,6.0,,,H,London,E09000023,Lewisham,E05000450,Perry Vale,E14000788,Lewisham West and Penge,A1,Urban major conurbation,E09000023,535860.0,172698.0,,Lewisham 027,Lewisham 027B,,,,,,999,,,Good,South-East England and South London,,100023254119.0,,E02000679,E01003310,33.82343,13.05614,535860.0,172700.0,535860.0,172700.0
714,100716,209,Lewisham,2878.0,Ashmead Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210.0,2,No Special Classes,17-01-2019,322.0,170.0,152.0,14.9,0,Not applicable,,,Not applicable,,Not under a federation,,,10074623.0,,Not applicable,04-07-2017,0,Not applicable,11-07-2019,Ashmead Road,,Deptford,London,,SE8 4DX,www.ashmeadprimary.wordpress.com/,2086926081.0,Mr,Sean,O'Flynn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000439,Brockley,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,537241.0,176322.0,,Lewisham 008,Lewisham 008E,,,,,,999,,,Good,South-East England and South London,,100023281192.0,,E02000660,E01033324,37.62321,13.392729999999998,537240.0,176320.0,537240.0,176320.0
